Título;Saldo estoque;Preço;Código de barras
"Dentro da Casca";265;25.00;
"Fantasmas Não Andam de Montanha-Russa";219;25.00;
"Álbum de Família";259;35.00;
"Azul Para Viagem e Outros Escritos Cênicos";235;35.00;
"Baile Catingoso";288;35.00;
"Calabar - Lêdo Ivo";50;35.00;
"Como Num Inferno Para Marinheiros";340;35.00;
"D'Água";331;35.00;
"Delírios Intranquilos";392;35.00;
"Ocre Barro";123;35.00;
"Pausas Corrompidas";245;35.00;
"Poemas Definitivos";315;35.00;
"Qualquer Curva que Me Leve Sem a Sua Linha Reta";338;35.00;
"Um Cordel Atrás do Outro";290;30.00;
"Nadi";5;20.00;
"Papéis Mortos";326;35.00;
"Prelúdios & Delírios";310;20.00;
"Dora";213;30.00;
"60";105;30.00;
"Os Meninos Iam Pretos Porque Iam";30;35.00;
"Monossílabo";365;25.00;
"O Sangue na Lã";25;25.00;
"Dediquem-se à Rasteira";56;25.00;
"Água de Chocalho";30;25.00;
"Das Coisas que Esquecemos Pelo Caminho";31;25.00;
"Senhora";19;5.00;
"Marília de Dirceu";102;5.00;
"Memória de Um Sargento de Milícias";237;5.00;
"Cultura Popular";12;20.00;
"Novo Teatro";88;25.00;
"Os Filhos de Ana Rosário";313;35.00;
"Quando os Gatos Lunares Encontrarem Rodolfo Valentino";330;15.00;
"Radiações de Fundo Cosmico";52;25.00;
"Solo de Rangidos";197;25.00;
"Elos e Nós";77;25.00;
"Caos Totem";3;25.00;
"Antes e Depois da Chuva";18;35.00;
"Entre Ratos & Outras Máquinas Orgânicas";135;35.00;
"João & Seus Ais Miúdos";294;35.00;
"Meio Chá de Pólvora";368;35.00;
"Malu e a Bagaceira";257;15.00;
"Minha Furia e Outros Demônios";258;15.00;
"Contos Periféricos";250;15.00;
"Composição Para Além-Vértebras";318;15.00;
"Areia em Rolimã";261;15.00;
"Abxtrato & Outros Temperos";0;15.00;
"Deriva Nas Ruínas";0;15.00;
"Digitos Parcos";0;15.00;
"Passavida e Artefato";109;15.00;
"OBRAS DIVERSAS";0;0.00;
"Luiz Sávio de Almeida: Vida e Obra";128;25.00;
"Vida e Obra de Jorge de Lima";24;50.00;
"Sonetos Impuros";189;10.00;
"Tijolo sobre Tijolo, Palavra Sobre Palavra";64;25.00;
"Veredas do Tempo";34;20.00;
"Vil e Tal";5;15.00;
"Saber Alagoas Vol. I";14;15.00;
"Saber Alagoas Vol. II";7;15.00;
"Relatórios de Graciliano Ramos Publicados no D.O";135;15.00;
"Quem Tabelar com Toni Ganha um Fusca";350;15.00;
"Poesia Completa";215;30.00;
"Não Conte Comigo";53;15.00;
"Navegar é Preciso";391;50.00;
"Monocromático";88;10.00;
"Murmuro";369;30.00;
"Memória e Ficçao";24;20.00;
"A História do Soldado";336;30.00;
"Agrafia";132;10.00;
"Água do Mar Nos Olhos";572;60.00;
"Alagoas 200 Anos";70;50.00;
"Alagoas Sequencial - 200 anos";164;20.00;
"Aloisio Costa Vol. I";76;30.00;
"Aloisio Costa Vol. II";57;30.00;
"Apuê";235;15.00;
"As Cervejas Selvagens e Outros Poemas";0;35.00;
"Contos Rubik";0;20.00;
"Das Horas";0;10.00;
"Biblioteca Pública Estadual Graciliano Ramos";13;20.00;
"Centenário da Imprensa Oficial";26;20.00;
"Dom Pedro II e Dona Teresa Cristina nas Alagoas";16;20.00;
"Graciliano Arte";48;60.00;
"Cidade";160;20.00;
"Delmiro Gouveia e a Educação na Pedra";123;70.00;
"História da Educação Superior em Alagoas de Suas Origens";62;25.00;
"Graciliano Ramos em Viçosa";24;45.00;
"Ilha de Ferro";0;40.00;
"Inventário do Silêncio";26;5.00;
"Lagoas e Vales Alagoanos";17;50.00;
"Memento - Celso Brandão";0;10.00;
"O Drama da Descoberta do Petróleo Brasileiro";14;20.00;
"Outdó";20;10.00;
"Outro Modo de Interpretar o Brasil";45;20.00;
"Livramento";327;30.00;
"Sertão e o Cangaço";290;15.00;
"Simbiose Poética";90;10.00;
"Grão";55;10.00;
"Pelos Poros e Pequenos Apelos";41;10.00;
"Pequenos Poemas Para Serem Ditos";12;10.00;
"João Urso e Outros Contos Incríveis de Breno Accioly";40;35.00;
"Quilombo dos Palmares";11;30.00;
"Velas";27;25.00;
"Os xucurú-cariri em Palmeira dos Indios";0;30.00;
"O Anjo Americano";234;30.00;
"EDUNEAL / FAPEAL";0;0.00;
"Autor/Autoria";18;15.00;
"A Pesquisa Qualitativa no Campo da Saúde";26;15.00;
"Câncer de Mama";0;0.00;
"Contornos da Pesquisa em Linguística Aplicada - Discurso";27;15.00;
"Contornos da Pesquisa em Linguística Aplicada - Ensino";17;15.00;
"Por Uma Educação Emancitatória";0;15.00;
